img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/Complexcon 2025 E-ticket.pdf---image_page1_3.png, qrcode = TA25CCTEST3CLwdmZmcn3BMfZVmJiTwo3kE+mg6hrpS4Krkecc1arFA2NGnGFXlbqBpgGtx1eaT7qgSzHE0u9jpKmUivIXei4b+i6j/b+I/wh9JnvSW7y/+w48K8WSRD4a98gMQ9/5Fo9 , seat_info = A 25
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882153.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhz0OprjNFYppoXgEgrgECYZAg/8JFpLnmstCObJJrMCdZasm+sY4k5Eu/VAZNpHC09f7RKhHHxH7F5D9dNPBG+aIJw+rbSBPOhF , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882147.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh3wPs+0Y1It899PNHf8fk/HIyQLHoFPmMwPMcFxUq5O4rEXPKzVQvZ8U3S34hbFRdV7vLNLgZCBe1rbdVyjjBydXF0AMrO34w+1 , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882027.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxvwbJiyPAQpod8bHcd3r1a+wcdcgqJUXRf07HJFKiCJdRiN3OEsqAhdWO8jHhKXtA5scH61uRgvmSvijxZwoVzX62Q3azmvI5XE , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882033.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxr0aZ3oYVMo84GXcWvlDbilhIUPyJfMGPKGGSIT46I3iQ8ijQ7o26+9OFh6JQuRlT2YuFjVGL9hBvfZwpePmp2XHMeCSDPRJKGU , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882032.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxr1OprhZlF58N6/HHAu9gfx0VPoaLIB5AOZ9hlNmyMAx8kKuYVQqplPGWBhLZoVUl+ZgfRVNzcGUyOS33p1yQQT7NF5xh65Z4cI , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882026.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxvxbsziYAIt8oH5qWzs0IAfqXGEr8vtU3t3JyhKaTT6PWc9Y30UrRqyaki4I8qlWxfyyjLL4VUvJ6Hn+SmJTN7g2Ka1SJVzOyRX , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882146.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh3xbcjkPAV68NJh202Hx5xRgo7+k79NDzAKjy4cN9RpzSGXf1foCdTLT4NJZciIwaEYblz47hGNPlFHi9la1yvtMpuIn91mc+le , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882152.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhz1aZu0NVQtptIl2aDaMyT9qjrFSsszD7JKHcSq15MQ4GqshmWYOzZyZc/dr4VpGCZ+wCaaIY4oQxOUVXBknGWSMoNEHkzya5hn , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882135.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhryOcywMwQoo4I04Rtr/+J5Gi7FkqCQJHSoNT/YVl9AM5Gf18HDf3MoMmqoloLaOjSpitM8ZI/4miFn5+4R7Gn5pRkL60O+fapI , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882121.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhv2aZrjPAYo9dHO+BDsZSqDlaPz1wO9sKxLXgyRmyXVkZS4kq0mpVpMgJqzXhE2jzuNoIopzkZKUCglYMcNEU3MyFw5Xibmg8ZU , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882109.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhn+bJ7jNlQs89aj97fB5IN5DGmBeghEgVGCoePZ/9UXMWIkeU2JJi49VY1AnhP9CzzBWj1hgygO3+XACMhnEFPRqQ58/AQAalCc , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882082.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxH1a5zhN1R/9ILT7UwiYFnZ3dg7rr1Nz7K4k86Rxt9F3QfQqg2QyirTxi/znidI7JEdnNQRlSLlxUZb/M0WvUZOBj+ewqYMuHND , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882096.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxDxOpy3ZwIv9NEqGn7kaz0vCRZEDss26yCDUh3kWobTxxHyvruDL7EKg/RS0XbaSmk2Y4pHTxjV8K4qlrGrv8tjyaRCot1l9UMN , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882041.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnx32PpjjPFUi9ND78GwkJ+290JNdnjQgDXZz2LDN8V0ptHTCaxwdDXxT78JdkALHVRsEZsiE3SbUe46Mc1H3hiCi7+dZIUEDTAes , seat_info = 未解析出座位
